L [fm^-1]     a [fm^-2]      -Tan(d)/k
0.0064       0.00309917      6.10651
0.01         0.00309917      6.96072
0.0225       0.00309917      7.87535
0.030625     0.00309917      8.14926
0.04         0.00309917      8.3901
0.050625     0.00309917      8.61846
0.0625       0.00309917      8.84434
0.075625     0.00309917      9.07307
0.09         0.00309917      9.30768
0.105625     0.00309917      9.55004
0.1225       0.00309917      9.80139
0.140625     0.00309917      10.0627
0.16         0.00309917      10.3346
0.180625     0.00309917      10.6178
0.2025       0.00309917      10.9129
0.225625     0.00309917      11.2205
0.25         0.00309917      11.5412
0.275625     0.00309917      11.8758
0.3025       0.00309917      12.2249
0.36         0.00309917      12.9698
0.5625       0.00309917      15.6505
1.           0.00309917      22.3739
2.25         0.00309917      67.4768
4.           0.00309917      -142.014
9.           0.00309917      -27.3062
25.          0.00309917      -14.5283
