# L[fm^-1] a0,r0[nucl-Martin]      a1,r1[nucl-Martin]   a0[nucl-Rimas-unproj]      a1[nucl-Rimas-unproj]        a0[nucl-Rimas-proj]   a1[nucl-Rimas-proj]
0.5        -3.18  0	               0	    0           -2.798                     134.029                      5.182	              -137.45
0.75       3.9    1.77	           -827.17	-1.19       3.863                      1639.25                      4.593	              -64.664
1          4      3.21	           -147.91	-0.81       3.976                      -140.09                      4.215	              -45.726
1.5        3.77   3.34	           -49.16 	-0.34       3.774                      -44.739                      3.805	              -31.537
2          3.6    3.12	           -32.8  	0.01        3.617                      -29.16(                      3.594	              -25.651
3          3.42   2.76	           -23.4  	0.48        3.437                      -20.038                      3.378	              -20.496
4          3.32   2.55	           -20.23 	0.75        3.344                      -16.908                      3.27	              -18.184
6          3.23   2.3 	           -15.78 	0.55        3.251                      -14.432                      3.164	              -16.026
8          3.19   2.14	           -16.08 	1.17        3.209                      -13.148                      3.111	              -14.863
10         3.15   2.02	           -13.44 	1.03        0/0                        0/0                          3.075	              -13.457
