lambda[fm^-1] alpha[fm^-2]    C0[MeV]
0.6325     0.00077171      0.83382111
0.7746     0.00105652      0.90776882
0.8944     0.00110491      0.91369538
1.0000     0.00109934      0.83396922
1.0954     0.00122357      1.37935968
1.1832     0.00116872      0.37470813
1.2649     0.00115710      0.00273375
1.3416     0.00120176      -0.50265132
1.4142     0.00125485      -1.12940812
1.4832     0.00119019      -1.82844597
1.5492     0.00126792      -2.72133438
1.6125     0.00121848      -3.68073733
1.6733     0.00126717      -4.83339523
1.7321     0.00130049      -6.12301834
1.7889     0.00123366      -7.48372394
1.8439     0.00127897      -9.08293304
1.8974     0.00127640      -10.79866171
1.9494     0.00132586      -12.72678747
2.0000     0.00123879      -14.67527162
2.0494     0.00122735      -16.87450660
2.0976     0.00131155      -14.92686728
2.1448     0.00124551      -21.84398418
2.1909     0.00122351      -24.55846572
2.2361     0.00134849      -27.69202731
2.2804     0.00122853      -30.62982902
2.3238     0.00125436      -34.00330272
2.3664     0.00134601      -37.71568075
2.4083     0.00123155      -41.21067985
2.4495     0.00123523      -45.19861754
2.4900     0.00125159      -49.41210919
2.5298     0.00130885      -53.95787299
2.5690     0.00135703      -58.72700386
2.6077     0.00123411      -63.26698013
2.6458     0.00123557      -68.38264994
2.6833     0.00126348      -73.83190969
2.7203     0.00127965      -79.49354643
2.7568     0.00130418      -85.46884687
2.7928     0.00124058      -91.37906356
2.8284     0.00133743      -98.17811347
2.8636     0.00124230      -104.48231212
2.8983     0.00128009      -111.63742606
2.9326     0.00126966      -118.86583963
2.9665     0.00133031      -126.61959764
3.0000     0.00130310      -134.41282198
3.0332     0.00129846      -142.67347449
3.0659     0.00131786      -151.31892909
3.0984     0.00124216      -159.72002777
3.1305     0.00132586      -169.42925062
3.1623     0.00132720      -179.00345407
3.1937     0.00129809      -188.69826687
3.2249     0.00125184      -198.61382760
3.2558     0.00124683      -209.18057966
3.2863     0.00125499      -220.21678061
3.3166     0.00135532      -232.33938473
3.3466     0.00129957      -243.38866953
3.3764     0.00125706      -255.60187410
3.4059     0.00135898      -269.21706892
3.4351     0.00127936      -281.32840182
