L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00084688      -14.752676      -0.02      42.09      21.23
0.2025     0.00084698      -23.952782      -0.02      42.08      21.15
0.3025     0.00084707      -35.379441      -0.02      42.08      21.07
0.4225     0.00084720      -49.032424      -0.02      42.08      21.01
0.5625     0.00084729      -64.911640      -0.02      42.08      20.96
0.7225     0.00084743      -83.017035      -0.02      42.07      20.92
0.9025     0.00084757      -103.348587      -0.02      42.07      20.89
1.1025     0.00084770      -125.906275      -0.02      42.07      20.86
1.3225     0.00084779      -150.690091      -0.02      42.06      20.84
1.5625     0.00084788      -177.700022      -0.02      42.06      20.82
1.8225     0.00084807      -206.936076      -0.02      42.06      20.80
2.1025     0.00084816      -238.398225      -0.02      42.05      20.79
2.4025     0.00084834      -272.086489      -0.02      42.05      20.77
2.7225     0.00084848      -308.000857      -0.02      42.05      20.76
3.0625     0.00084861      -346.141328      -0.02      42.04      20.75
3.4225     0.00084880      -386.507903      -0.02      42.04      20.74
3.8025     0.00084898      -429.100576      -0.02      42.03      20.73
4.2025     0.00084916      -473.919350      -0.02      42.03      20.72
4.6225     0.00084934      -520.964226      -0.02      42.02      20.71
5.0625     0.00084953      -570.235201      -0.02      42.02      20.71
5.5225     0.00084975      -621.732270      -0.02      42.01      20.70
6.0025     0.00084998      -675.455440      -0.02      42.01      20.69
6.5025     0.00085021      -731.404710      -0.02      42.00      20.69
7.0225     0.00085048      -789.580074      -0.02      42.00      20.68
7.5625     0.00085076      -849.981535      -0.02      41.99      20.68
8.1225     0.00085103      -912.609096      -0.02      41.98      20.67
8.7025     0.00085135      -977.462773      -0.02      41.97      20.67
9.3025     0.00085163      -1044.542504      -0.02      41.97      20.66
9.9225     0.00085200      -1113.848367      -0.02      41.96      20.66
10.5625     0.00085232      -1185.380307      -0.02      41.95      20.66
11.2225     0.00085268      -1259.138351      -0.02      41.94      20.65
11.9025     0.00085305      -1335.122492      -0.02      41.93      20.65
12.6025     0.00085346      -1413.332743      -0.02      41.92      20.64
13.3225     0.00085392      -1493.769061      -0.02      41.91      20.64
14.0625     0.00085434      -1576.431490      -0.02      41.90      20.64
14.8225     0.00085484      -1661.320016      -0.02      41.89      20.63
15.6025     0.00085535      -1748.434649      -0.02      41.88      20.63
16.4025     0.00085590      -1837.775358      -0.02      41.86      20.63
17.2225     0.00085650      -1929.342167      -0.02      41.85      20.63
18.0625     0.00085711      -2023.135140      -0.02      41.83      20.62
18.9225     0.00085775      -2119.154100      -0.02      41.82      20.62
19.8025     0.00085840      -2217.399193      -0.02      41.80      20.62
20.7025     0.00085914      -2317.870393      -0.02      41.78      20.62
21.6225     0.00085989      -2420.567688      -0.02      41.77      20.61
22.5625     0.00086068      -2525.491079      -0.02      41.75      20.61
23.5225     0.00086147      -2632.640584      -0.02      41.73      20.61
24.5025     0.00086231      -2742.016147      -0.02      41.71      20.61
25.5025     0.00086324      -2853.617812      -0.02      41.68      20.67
26.5225     0.00086418      -2967.445590      -0.02      41.66      20.66
27.5625     0.00086521      -3083.499463      -0.02      41.64      20.66
