L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1000     164.36198625      -0.277649      0.12      -0.10      -0.19
0.1500     105.68844259      -0.625175      0.12      -0.12      -0.22
0.2000     77.23174629      -1.111837      0.12      -0.14      -0.23
0.2500     60.58751637      -1.737635      0.12      -0.16      -0.24
0.3000     48.79665144      -2.502567      0.12      -0.18      -0.22
0.3500     40.61130938      -3.406636      0.12      -0.19      -0.21
0.4000     34.69730564      -4.449839      0.12      -0.21      -0.18
0.4500     29.98700216      -5.632178      0.12      -0.22      -0.15
0.5000     26.42210884      -6.953652      0.12      -0.24      -0.11
0.5500     23.24996564      -8.414262      0.12      -0.25      -0.06
0.6000     20.78946850      -10.014007      0.12      -0.27      -0.01
0.6500     18.69984906      -11.752887      0.12      -0.28      0.04
0.7000     16.78324379      -13.630903      0.12      -0.30      0.11
0.7500     15.25565165      -15.648054      0.12      -0.31      0.17
0.8000     13.83260330      -17.804340      0.12      -0.33      0.23
0.8500     12.68224980      -20.099762      0.12      -0.34      0.29
0.9000     11.59682735      -22.534319      0.12      -0.36      0.36
0.9500     10.64501326      -25.108012      0.12      -0.38      0.42
1.0000     9.80574610      -27.820840      0.12      -0.39      0.48
1.0500     9.06195669      -30.672803      0.12      -0.41      0.53
1.1000     8.35519159      -33.663902      0.12      -0.42      0.59
1.1500     7.72799743      -36.794136      0.12      -0.44      0.64
1.2000     7.16886289      -40.063505      0.12      -0.46      0.69
1.2500     6.63679413      -43.472010      0.12      -0.48      0.75
1.3000     6.16183448      -47.019650      0.12      -0.49      0.80
1.3500     5.71096331      -50.706426      0.12      -0.51      0.85
1.4000     5.33034163      -54.532337      0.12      -0.53      0.89
1.4500     4.94591749      -58.497383      0.12      -0.55      0.94
1.5000     4.60162884      -62.601564      0.12      -0.57      0.99
1.5500     4.29207702      -66.844882      0.12      -0.59      1.03
1.6000     3.98339790      -71.227334      0.12      -0.61      1.08
1.6500     3.70685923      -75.748921      0.12      -0.64      1.13
1.7000     3.45814902      -80.409645      0.12      -0.66      1.17
1.7500     3.22300910      -85.209503      0.12      -0.68      1.22
1.8000     2.99197382      -90.148497      0.12      -0.71      1.27
1.8500     2.78491856      -95.226626      0.12      -0.73      1.32
1.9000     2.59096471      -100.443891      0.12      -0.76      1.37
1.9500     2.40970889      -105.800291      0.12      -0.79      1.42
2.0000     2.24066027      -111.295826      0.12      -0.82      1.48
2.0500     2.08326651      -116.930497      0.12      -0.85      1.53
2.1000     1.93199755      -122.704303      0.12      -0.88      1.59
2.1500     1.79221391      -128.617244      0.12      -0.91      1.66
2.2000     1.65919672      -134.669321      0.12      -0.95      1.72
2.2500     1.53695378      -140.860533      0.12      -0.99      1.79
2.3000     1.42149753      -147.190881      0.12      -1.03      1.86
2.3500     1.31303834      -153.660363      0.12      -1.07      1.94
2.4000     1.20918030      -160.268982      0.12      -1.11      2.02
2.4500     1.11501037      -167.016735      0.12      -1.16      2.11
2.5000     1.02378040      -173.903624      0.12      -1.21      2.20
2.5500     0.93995162      -180.929649      0.12      -1.26      2.29
2.6000     0.86012642      -188.094808      0.12      -1.32      2.39
2.6500     0.78620199      -195.399104      0.12      -1.38      2.50
2.7000     0.71693649      -202.842534      0.12      -1.45      2.62
2.7500     0.65158352      -210.425100      0.12      -1.52      2.75
2.8000     0.59058852      -218.146801      0.12      -1.59      2.89
2.8500     0.53417307      -226.007638      0.12      -1.68      3.05
2.9000     0.48054269      -234.007610      0.12      -1.77      3.21
2.9500     0.43146348      -242.146717      0.12      -1.86      3.39
3.0000     0.38511239      -250.424960      0.11      -1.97      3.58
3.0500     0.34251282      -258.842337      0.11      -2.09      3.80
3.1000     0.30290427      -267.398851      0.11      -2.23      4.03
3.1500     0.26647645      -276.094500      0.11      -2.37      4.30
3.2000     0.23270316      -284.929284      0.11      -2.54      4.61
3.2500     0.20176808      -293.903203      0.11      -2.73      4.95
3.3000     0.17339068      -303.016258      0.11      -2.94      5.35
3.3500     0.14743729      -312.268448      0.11      -3.19      5.80
3.4000     0.12404812      -321.659774      0.11      -3.48      6.31
3.4500     0.10290535      -331.190235      0.11      -3.82      6.92
3.5000     0.08394988      -340.859832      0.11      -4.23      7.66
3.5500     0.06715706      -350.668564      0.10      -4.73      8.59
3.6000     0.05243097      -360.616431      0.10      -5.35      9.75
3.6500     0.03965707      -370.703433      0.10      -6.15      11.17
3.7000     0.02879137      -380.929571      0.10      -7.22      13.08
3.7500     0.01976892      -391.294844      0.09      -8.71      15.92
3.8000     0.01251006      -401.799253      0.09      -10.95      19.43
3.8500     0.00695989      -412.442797      0.08      -14.68      21.59
3.9000     0.00306184      -423.225476      0.07      -22.13      21.99
3.9500     0.00075916      -434.147290      0.05      -44.45      20.38
4.0000     0.00000001      -445.208241      0.03      -16487.78      0.00
4.0500     0.00073499      -456.408326      -0.01      45.18      20.32
4.1000     0.00291712      -467.747547      -0.08      22.68      21.99
4.1500     0.00650188      -479.225903      -0.19      15.19      21.68
4.2000     0.01144751      -490.843394      -0.34      11.45      19.96
4.2500     0.01771024      -502.600021      -0.53      9.20      16.83
4.3000     0.02526133      -514.495784      -0.77      7.71      14.00
4.3500     0.03405404      -526.530682      -1.05      6.64      12.03
4.4000     0.04405002      -538.704714      -1.37      5.84      10.62
4.4500     0.05522632      -551.017883      -1.75      5.21      9.50
4.5000     0.06754201      -563.470187      -2.17      4.71      8.56
4.5500     0.08099451      -576.061626      -2.64      4.30      7.80
4.6000     0.09551326      -588.792200      -3.15      3.96      7.18
4.6500     0.11112198      -601.661910      -3.71      3.67      6.66
4.7000     0.12773685      -614.670755      -4.33      3.43      6.22
4.7500     0.14538098      -627.818736      -4.99      3.21      5.84
4.8000     0.16398550      -641.105852      -5.70      3.02      5.50
4.8500     0.18362881      -654.532103      -6.46      2.86      5.20
4.9000     0.20411715      -668.097490      -7.27      2.71      4.93
4.9500     0.22545985      -681.802012      -8.14      2.58      4.68
5.0000     0.24782407      -695.645669      -9.05      2.46      4.46
5.0500     0.27107965      -709.628462      -10.02      2.35      4.26
5.1000     0.29510314      -723.750390      -11.04      2.25      4.09
5.1500     0.32012781      -738.011454      -12.11      2.16      3.92
5.2000     0.34584808      -752.411652      -13.24      2.08      3.78
5.2500     0.37228327      -766.950987      -14.42      2.01      3.64
5.3000     0.40000559      -781.629457      -15.66      1.94      3.52
5.3500     0.42784533      -796.447062      -16.95      1.87      3.40
5.4000     0.45699018      -811.403802      -18.29      1.81      3.29
5.4500     0.48671533      -826.499678      -19.69      1.76      3.19
5.5000     0.51738275      -841.734689      -21.15      1.70      3.09
5.5500     0.54805193      -857.108835      -22.66      1.65      3.01
5.6000     0.57990675      -872.622118      -24.23      1.61      2.92
5.6500     0.61285687      -888.274534      -25.86      1.56      2.84
5.7000     0.64583003      -904.066087      -27.54      1.52      2.77
5.7500     0.68050617      -919.996775      -29.29      1.48      2.69
5.8000     0.71471342      -936.066599      -31.09      1.45      2.63
5.8500     0.75037190      -952.275557      -32.95      1.41      2.56
5.9000     0.78620199      -968.623651      -34.87      1.38      2.50
5.9500     0.82328832      -985.110881      -36.84      1.35      2.45
6.0000     0.86012642      -1001.737246      -38.88      1.32      2.39
6.0500     0.89792981      -1018.502746      -40.98      1.29      2.34
6.1000     0.93661550      -1035.407381      -43.14      1.27      2.30
6.1500     0.97608388      -1052.451152      -45.36      1.24      2.25
6.2000     1.01621785      -1069.634058      -47.64      1.21      2.20
6.2500     1.05688204      -1086.956100      -49.98      1.19      2.16
6.3000     1.09792230      -1104.417277      -52.38      1.17      2.12
6.3500     1.13916553      -1122.017590      -54.85      1.15      2.08
6.4000     1.18277711      -1139.757037      -57.37      1.13      2.04
6.4500     1.22395633      -1157.635620      -59.96      1.11      2.01
6.5000     1.26732411      -1175.653339      -62.62      1.09      1.98
