# l[fm^-2]    alpha[fm^-2]       C0[MeV]    aff[fm] (B(dimer)=0.1MeV)    add(local)[fm]    add(non-local,finite-diff.)[fm]
      0.25          0.0036      -30.9795                        21.83            36.714                             15.401
      1.00          0.0036     -117.5248                        21.07            36.714                             15.525
      2.25          0.0036     -259.7207                        20.77            36.714                             15.588
      4.00          0.0036     -457.5555                        20.57            36.714                             15.637
      6.25          0.0036     -711.0607                        20.31            36.714                             15.681
      9.00          0.0036    -1020.1831                        20.05            36.714                             15.721
     12.25          0.0036    -1385.0069                        19.65            36.714                             15.760
     16.00          0.0036    -1805.4404                        19.21            36.714                             15.797
     20.25          0.0036    -2281.5596                        18.65            36.714                             15.834
     25.00          0.0036    -2813.2897                        18.03            36.714                             15.869
